,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SULT1B1,25.923532032124886,1.7076054318201985,0.41646424013696265,4.100245032463334,4.1271291784034405e-05,0.005196743490472999
HSPB7,10.075928621155256,1.3605721019050705,0.40832881161451895,3.3320502085694423,0.0008620870142043956,0.0442635648021354
UQCRH,12681.219808751153,0.38036750254604235,0.09335806706107866,4.07428639559547,4.615565399878451e-05,0.005624842953830917
TDRD12,34.86933610502063,1.344679011418322,0.3706333327159704,3.628057416111566,0.0002855617640592595,0.020507345422812517
SLCO4C1,177.14823045251723,-1.751027252738987,0.39379821955951827,-4.446508810267331,8.727708924186806e-06,0.0016195259173881378
PABPC5,13.291687209105126,2.9924507231581443,0.7576339449104151,3.9497315864219633,7.823888014426311e-05,0.008379867506979053
CD248,25.622598755761757,2.2652459819946484,0.4087192466143394,5.542303184298283,2.9851885132185905e-08,1.787226730432813e-05
SCUBE2,59.31586839158483,1.5497230111661855,0.315052330221449,4.918938419141009,8.701483709174173e-07,0.0002765874432115129
PCSK1,217.8028563361236,1.9780596144282072,0.4420736059276412,4.474502860847062,7.658930122443186e-06,0.0015033178585741385
KLHL38,12.760772965014649,1.4356891630625923,0.38583037483238986,3.72103716221481,0.00019840623552836752,0.016352281193637998
PRR18,19.44905938653997,-1.34328481663728,0.40426062034201826,-3.3228188674445094,0.0008911275814941556,0.04538743063947199
KCMF1,5625.363673274799,0.28080632615833917,0.08041028557457207,3.4921692436712077,0.00047911456691093665,0.029635057159163605
DCAF4L2,15.49571649191613,3.440246186989162,0.6796853219877367,5.061527850753312,4.159099685567908e-07,0.0001450246067283025
MIR7-3HG,3.9024157566195377,1.9218081996492364,0.49697860394432775,3.8669837783690983,0.000110189754421878,0.011026430367917719
SOX11,72.20263345593064,2.1281521391950933,0.486988695693124,4.370023694628322,1.2423305534485146e-05,0.002119375849004022
MAMSTR,128.13203228591385,0.9130410271987874,0.22673145336922887,4.026971175066361,5.649995589667861e-05,0.00656703333537549
NHLH2,3.1337128099980913,2.5162426552067982,0.6894071683491265,3.649864362786164,0.00026237881921804704,0.019497757172383726
ANXA2R,266.2044532246984,-0.8187750176848658,0.21979793913225204,-3.725125999439924,0.00019521768864847188,0.01620340600857197
AMER3,7.868622355503416,3.8862526910184565,0.6182002426670531,6.286397873692672,3.249165870421134e-10,3.6821172226547504e-07
KCNG2,14.880625500817052,0.9882549177559539,0.28135550749987964,3.5124776000923905,0.0004439494254515421,0.02823037919639856
CALML5,9.06776684985172,-1.9251695334535566,0.5486098870654537,-3.5091776120758613,0.00044949462530754103,0.028412179194489216
LMO7DN,3.0029731575137206,-1.4997212596958,0.4514451867980169,-3.322045075578128,0.000893602567461096,0.045440549788634675
RFLNA,95.46155832458817,2.0522608164697793,0.47251115838691155,4.343306565448988,1.4035406053095282e-05,0.0022956570591276615
FAM133A,248.41862449617506,1.741322196977957,0.518077690404922,3.3611217568873983,0.0007762659767966069,0.04210546275168057
RPRML,25.003957722093652,2.2554190577427744,0.5123504338363296,4.402102367426253,1.0720694997088445e-05,0.001879438524600074
WDR97,174.16759318643642,-0.9324047481783372,0.26892287317871233,-3.4671827545093525,0.0005259441714323439,0.031797924656591973
ABCA13,316.47699924717557,-1.9216532080338218,0.42458823790522604,-4.525921908516838,6.013278348147215e-06,0.0012539812238011351
SLC9A4,11.68991391223109,-1.673362730747446,0.38659459417314807,-4.328469036993258,1.5014943671520458e-05,0.002382195888205078
HCLS1,116.37943189417769,1.2356073214552576,0.33935240611548273,3.641074290879719,0.00027150277151491973,0.019942255654953514
OR51E1,15.734024148538067,4.6303021246724185,1.0168381861269198,4.553627300631757,5.272873893695283e-06,0.001124798627799043
OXTR,1045.079254638341,-1.6824576244724143,0.34763808559746195,-4.8396815371390876,1.3004735180458617e-06,0.00037858096514782787
PENK,44.12041468082998,-3.0888157952870006,0.6055629248565013,-5.100734652833888,3.38337623185961e-07,0.0001233998979461348
LINC00334,7.8644071733322045,-1.075243527744298,0.3020526570744827,-3.559788343391912,0.0003711538124966743,0.02527381445529565
SLC35D3,16.97210784914518,1.9765950100327292,0.4196634313284847,4.709952934845023,2.4777400142255057e-06,0.0006239775269157899
PCP4,8.298138466176795,2.25223793048912,0.5486233703463588,4.1052533527094,4.038720002025135e-05,0.005126104975370383
FREM3,1.837059938394459,-1.422529309126956,0.4175807800256055,-3.4065967045699,0.0006577824346242015,0.03767526070949556
SERHL2,134.14863753632582,0.7350473850430306,0.18143537905017887,4.051290265939486,5.0935971551196725e-05,0.006021644613083865
FBXL7,197.76222305559492,1.693933481633073,0.48065866700921844,3.524192109492505,0.0004247761557652891,0.027507290201200792
GKN2,4.496274117705789,1.969295639148478,0.5853096412955568,3.3645364781443368,0.0007667234819606734,0.04178043773490925
TBK1,3422.7796909130157,0.6254444266168154,0.13922373986813832,4.4923690974627375,7.0435212650936445e-06,0.00139686233289179
KCTD16,37.63459787557458,1.2594896649642682,0.3127058846014863,4.027713346582419,5.632195264768505e-05,0.00656703333537549
NCF4-AS1,1.6894815652813395,-2.8640961354339107,0.8153927629437278,-3.5125356338630747,0.0004438524810479777,0.02823037919639856
